Loss F(19.79) Phi(2.04) Phi(2.82) Phi(3.64) Phi(1.48) Phi(2.30) Phi(3.64) Phi(1.48) Phi(2.30) Phi(3.64) 
90.651565 5.910297 0.612347 0.087990 0.107785 0.608773 -0.248044 -0.174329 0.427361 0.254425 0.361848 
64.932894 13.373310 0.101669 0.466679 -0.684560 0.218113 0.532807 0.771229 -0.989252 0.644732 0.132881 
333.771797 5.798915 0.836822 -0.642748 0.514136 -0.004380 -0.267446 -0.439953 0.373243 -0.705950 -0.466905 
19.770366 11.924181 -0.741486 -0.293649 0.132798 0.777829 -0.702382 -0.008698 -0.911269 0.667658 0.070788 
370.859018 6.325360 0.606733 -0.104526 0.695530 0.248661 0.640207 -0.807858 -0.191328 -0.530037 0.558004 
432.742531 18.321579 0.237254 0.501073 0.984067 0.083296 -0.916956 0.884863 -0.923800 0.319056 -0.807242 
201.205331 8.329589 -0.277984 0.771854 0.771134 -0.643661 -0.144341 -0.056549 0.521936 -0.344014 -0.538573 
77.642233 18.793073 -0.241518 -0.790161 -0.726740 -0.232800 0.780040 -0.548444 0.588569 -0.380556 0.434330 
94.146372 15.537306 -0.624253 -0.258586 -0.577635 -0.555718 -0.753797 -0.073412 0.047946 -0.099203 0.875132 
258.753047 2.159043 0.198427 -0.677229 0.690391 -0.257704 -0.278603 0.554727 0.365902 0.267928 -0.415072 
323.341270 11.557378 0.422254 0.202463 0.682889 -0.629304 -0.456761 -0.230073 -0.983852 0.803066 0.098218 
9.458965 10.648496 -0.080154 0.112330 -0.134773 -0.002789 0.779211 -0.278843 0.195820 0.380519 -0.757420 
5.404661 16.671061 -0.580812 -0.114373 -0.125974 0.753995 -0.144482 -0.944741 -0.185074 0.937425 0.159958 
120.575538 6.194369 0.712839 0.794870 0.079242 0.089984 0.023277 -0.345346 -0.887300 0.352166 0.289656 
230.314991 14.261685 -0.334105 -0.402032 0.740810 0.273811 -0.099199 -0.845141 0.448268 -0.924894 0.353899 
585.987844 18.903832 0.839754 -0.661911 0.940715 0.107769 -0.735521 0.339625 -0.531329 0.011885 -0.849809 
34.111353 4.530401 0.061527 0.690641 -0.350452 -0.012654 0.798814 0.452306 0.315880 -0.305701 -0.576002 
61.434196 5.461748 0.484657 -0.192996 -0.838121 -0.906126 0.806910 0.890144 0.174328 -0.062436 0.806855 
209.909769 5.488556 -0.617241 -0.386010 -0.841492 0.971363 0.537645 -0.323897 0.016376 0.924463 -0.844108 
30.030082 16.930592 -0.903688 -0.445573 0.033904 0.306511 0.229212 0.053558 0.586583 0.821261 0.999110 
114.762343 8.559943 0.287761 0.687667 -0.216151 -0.913785 -0.562655 0.722470 0.165017 -0.514050 0.455462 
37.757761 11.372962 0.486983 -0.049330 -0.135917 -0.504546 -0.388463 0.572087 0.711176 0.234218 -0.679746 
337.077213 1.140238 0.369148 0.466577 0.865888 0.530475 0.745798 -0.375186 0.239216 -0.269614 -0.923113 
393.552250 11.689713 0.087484 -0.977062 0.971550 -0.853295 -0.530104 0.767848 0.537452 -0.343761 -0.555009 
61.067743 12.670820 0.216765 -0.813366 -0.312637 -0.468743 0.536568 -0.968611 0.951930 0.327565 -0.382588 
142.531251 19.262547 0.655822 -0.793485 -0.298631 -0.460869 -0.952983 0.794033 -0.124971 0.203094 0.957955 
311.174042 3.178752 0.313550 0.671616 0.834594 -0.084393 0.654691 -0.090489 -0.030805 -0.854354 0.378595 
94.419853 15.770942 -0.495524 -0.985892 -0.265768 0.905059 0.520148 -0.866731 -0.652637 0.071750 -0.422862 
66.525521 12.557281 0.556614 0.684966 -0.736074 0.606203 0.549961 -0.073522 0.805836 0.886931 -0.381250 
243.911484 17.943076 0.659952 -0.753180 0.005986 0.697631 0.921285 0.851455 -0.493900 -0.166530 -0.915137 
327.134232 16.086072 0.746709 0.631910 0.609340 -0.033356 0.418074 0.932546 -0.538558 0.267711 0.159078 
203.289591 11.500253 -0.975809 -0.748440 -0.796593 0.250060 0.545750 0.525377 0.939540 -0.954439 0.633606 
287.790439 2.125395 -0.176574 -0.345276 0.870528 0.769484 -0.537276 -0.887310 0.341717 -0.379574 0.394110 
49.595173 19.557471 -0.983186 0.032242 0.535294 0.342879 -0.310879 0.481618 0.095319 0.849112 -0.481874 
223.124461 17.703798 0.095014 -0.255330 0.576771 0.007045 -0.420482 -0.651765 -0.042222 -0.748494 -0.841609 
75.610096 14.623439 0.145286 -0.535141 -0.824800 0.997591 -0.922800 0.671684 0.552956 -0.385214 0.861269 
144.318506 14.019440 0.053837 0.182308 -0.992053 -0.276781 0.257305 -0.954889 -0.629365 0.882039 0.007179 
88.014725 17.870818 -0.606167 0.847418 0.215008 0.954159 0.794881 0.769847 -0.413642 0.886651 -0.597429 
132.446377 12.864223 -0.312614 -0.988612 0.204187 -0.462209 -0.518433 0.454316 0.787697 -0.038826 0.374541 
80.788131 7.747006 -0.979252 0.171355 -0.121814 0.917509 -0.806118 -0.850023 -0.174181 -0.231226 0.999598 
90.703458 6.139535 -0.112485 0.050389 -0.747220 0.188829 -0.572661 0.191136 -0.478051 0.814498 -0.248493 
151.367188 3.683955 0.131887 -0.306815 0.354025 0.645465 0.397717 0.246419 0.239267 -0.928275 0.829125 
116.765054 6.370387 0.391304 0.296152 -0.909383 0.992960 -0.846903 -0.134184 -0.921848 0.715879 0.361593 
115.285637 12.791952 -0.289863 0.834450 -0.440087 0.283176 -0.595051 -0.246464 0.532031 -0.809205 -0.585614 
131.913333 2.006687 0.121983 0.369511 -0.893653 0.440980 0.914397 0.298571 0.694910 -0.016987 -0.652042 
61.166911 7.850647 -0.673085 -0.567720 0.325236 -0.677811 0.025247 -0.680766 -0.492488 -0.184452 0.009211 
112.269045 11.814545 -0.684330 0.947766 0.401536 -0.572538 -0.212808 -0.127487 0.423993 0.542716 -0.587204 
