Start Optimization 
-2.826232 2.978840 1.842984 
-1.826232 2.978840 1.842984 
-1.826232 3.978840 1.842984 
-1.826232 2.978840 2.842984 
-1.804186 2.365183 1.053720 
-1.768375 1.368343 0.982806 
-1.717873 0.527892 0.443277 
-1.072209 -0.094418 0.885823 
-2.068578 0.400795 0.776223 
-2.291346 0.209036 -0.311348 
-1.728275 1.002505 0.600231 
-1.543439 0.402707 0.571345 
-1.568848 0.299693 0.505258 
-1.600188 0.096588 0.362898 
-1.589003 -0.124520 0.246769 
-1.406307 -0.246368 0.366248 
-1.505387 -0.078036 0.166317 
-1.676571 -0.058488 -0.014829 
-1.411071 -0.139493 0.220654 
-1.494274 0.026193 0.234419 
-1.539891 -0.083699 0.114513 
-1.483378 -0.099340 0.172508 
-1.463626 -0.085854 0.192621 
-1.491907 -0.104677 0.184462 
-1.484140 -0.121284 0.150272 
-1.467637 -0.139056 0.130566 
-1.482646 -0.137915 0.103180 
-1.478338 -0.149052 0.136014 
-1.458112 -0.169681 0.147927 
-1.482424 -0.140219 0.148238 
-1.488811 -0.150165 0.124472 
-1.474269 -0.155518 0.137648 
-1.476842 -0.160965 0.132673 
-1.479964 -0.167589 0.129952 
