Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
125.473821 16.03 31.59 9.92 22.12 15.53 30.89 9.47 21.14 0.50 1.22 -0.64 -0.68 0.83 1.37 -0.47 -0.56 
124.484972 16.10 31.67 9.98 22.19 15.62 31.06 9.56 21.27 0.50 1.22 -0.64 -0.67 0.84 1.39 -0.46 -0.55 
4.382847 8.59 16.71 3.94 9.37 9.13 17.16 4.07 9.55 0.90 1.64 -0.28 -0.08 0.99 1.84 -0.19 -0.01 
54.271236 13.12 23.73 4.50 12.23 12.96 24.85 4.66 12.46 1.17 2.10 -0.02 0.32 1.35 2.40 0.09 0.40 
235.617304 10.01 17.86 14.17 20.58 9.85 18.22 11.58 20.95 0.81 1.74 -0.50 0.83 0.99 1.78 0.34 0.73 
40.788690 16.86 31.26 6.85 18.74 16.92 33.42 7.20 19.40 1.67 3.00 -0.16 0.07 1.70 2.98 -0.08 0.13 
4.779955 8.59 16.71 3.94 9.37 10.16 19.16 5.10 11.54 0.90 1.64 -0.28 -0.08 0.99 1.85 -0.18 0.02 
4.366930 8.59 16.71 3.94 9.37 8.98 17.04 3.91 9.36 0.90 1.64 -0.28 -0.08 0.99 1.81 -0.21 -0.04 
4.375025 8.59 16.71 3.94 9.37 9.05 17.11 3.98 9.45 0.90 1.64 -0.28 -0.08 0.99 1.82 -0.20 -0.03 
4.983867 8.59 16.61 3.94 10.39 8.98 16.50 3.91 10.39 0.90 1.76 -0.28 -0.10 0.99 1.81 -0.21 -0.05 
4.514865 8.59 16.51 3.94 9.10 8.98 16.95 3.91 9.10 0.90 1.63 -0.28 -0.10 0.99 1.60 -0.21 -0.05 
4.312168 8.59 16.72 3.94 9.47 8.98 17.05 3.91 9.46 0.90 1.66 -0.28 -0.07 0.99 1.82 -0.21 -0.03 
49.934118 0.71 -1.00 -9.03 -13.55 0.24 0.40 -8.89 -13.34 0.84 1.37 -0.23 -0.28 0.94 1.63 -0.21 -0.27 
21.148784 9.96 19.25 4.21 10.48 10.11 19.44 4.10 10.31 0.83 1.43 -0.38 -0.31 1.01 1.75 -0.26 -0.17 
7.628407 8.10 15.87 4.23 9.58 8.50 16.10 4.18 9.52 0.86 1.54 -0.38 -0.18 0.94 1.73 -0.29 -0.11 
10.280091 10.79 20.47 3.73 10.15 10.74 20.71 3.61 9.98 0.90 1.56 -0.30 -0.19 1.10 1.93 -0.18 -0.06 
1.921133 5.65 10.97 3.40 6.69 6.01 11.01 3.28 6.55 0.70 1.30 -0.31 -0.03 0.76 1.33 -0.23 0.00 
44.716196 6.10 11.05 7.73 11.51 6.20 11.23 7.05 11.33 0.64 1.29 -0.28 0.33 0.79 1.35 0.03 0.30 
2.006589 5.63 10.94 3.37 6.65 5.73 10.46 3.00 5.99 0.70 1.30 -0.31 -0.03 0.76 1.33 -0.23 0.00 
21.422469 1.51 3.03 -2.87 -4.10 1.95 3.30 -2.85 -4.10 0.62 1.13 -0.26 -0.24 0.68 1.22 -0.25 -0.24 
1.931704 5.65 10.97 3.40 6.69 5.97 10.94 3.24 6.50 0.70 1.30 -0.31 -0.03 0.76 1.33 -0.23 -0.00 
11.866243 6.78 13.23 3.65 7.61 7.06 13.08 3.46 7.32 0.64 1.11 -0.40 -0.25 0.75 1.29 -0.28 -0.13 
1.924595 5.65 10.97 3.40 6.69 5.99 10.99 3.27 6.54 0.70 1.30 -0.31 -0.03 0.76 1.33 -0.23 0.00 
6.455019 7.89 15.24 3.22 7.61 8.12 15.16 3.03 7.31 0.70 1.24 -0.34 -0.19 0.82 1.43 -0.22 -0.07 
1.830833 5.65 10.84 3.41 6.46 6.01 10.96 3.30 6.32 0.70 1.27 -0.31 -0.04 0.76 1.31 -0.23 -0.00 
40.038692 6.59 11.99 8.26 12.31 6.67 12.14 7.49 12.10 0.65 1.30 -0.28 0.31 0.80 1.36 0.04 0.30 
2.182448 5.64 10.68 3.40 6.45 6.01 10.74 3.29 6.31 0.70 1.29 -0.31 -0.02 0.76 1.33 -0.23 0.02 
20.935784 1.46 2.67 -2.91 -4.47 1.90 3.02 -2.90 -4.48 0.61 1.09 -0.26 -0.23 0.67 1.09 -0.25 -0.23 
1.915910 5.66 10.83 3.41 6.47 6.02 10.94 3.30 6.33 0.70 1.27 -0.31 -0.03 0.76 1.30 -0.23 0.00 
6.348090 7.89 15.01 3.22 7.36 8.13 14.93 3.04 7.07 0.70 1.22 -0.34 -0.19 0.82 1.32 -0.22 -0.07 
1.971502 4.45 8.37 3.17 5.24 4.86 8.66 3.13 5.31 0.62 1.13 -0.31 -0.02 0.72 1.20 -0.23 0.02 
12.812385 7.37 14.13 3.77 7.88 7.60 14.03 3.53 7.50 0.68 1.15 -0.40 -0.26 0.79 1.36 -0.28 -0.14 
11.280032 6.14 11.51 5.83 9.60 6.39 11.59 5.61 9.42 0.69 1.29 -0.28 0.13 0.79 1.34 -0.19 0.15 
1.745893 6.23 11.96 3.43 6.80 6.58 12.08 3.30 6.64 0.72 1.29 -0.31 -0.06 0.78 1.33 -0.22 0.01 
1.940855 5.82 11.18 3.03 6.04 6.19 11.32 2.92 5.92 0.71 1.28 -0.29 -0.04 0.77 1.31 -0.22 0.00 
2.706771 5.63 10.72 2.09 4.61 5.97 10.90 1.98 4.46 0.71 1.28 -0.30 -0.09 0.77 1.36 -0.22 -0.03 
1.571495 5.60 10.67 3.35 6.21 5.89 10.70 3.18 6.00 0.68 1.21 -0.32 -0.07 0.74 1.27 -0.23 -0.00 
3.833987 6.01 11.53 3.34 6.55 6.35 11.62 3.20 6.37 0.70 1.23 -0.36 -0.15 0.77 1.31 -0.26 -0.06 
1.546470 5.60 10.67 3.37 6.21 5.95 10.81 3.25 6.10 0.68 1.21 -0.32 -0.07 0.74 1.26 -0.23 -0.00 
2.519816 5.51 10.38 4.14 6.99 5.78 10.44 3.96 6.81 0.65 1.19 -0.29 0.01 0.74 1.25 -0.21 0.07 
1.553214 5.59 10.64 3.35 6.17 5.95 10.80 3.24 6.07 0.68 1.20 -0.32 -0.07 0.74 1.26 -0.23 -0.00 
2.493067 4.87 9.21 2.10 4.04 5.21 9.37 1.99 3.92 0.66 1.16 -0.31 -0.08 0.72 1.20 -0.23 -0.03 
1.551230 5.60 10.64 3.37 6.18 5.96 10.80 3.26 6.07 0.68 1.20 -0.32 -0.07 0.74 1.26 -0.23 -0.00 
3.321301 6.14 11.76 3.90 7.32 6.51 11.90 3.78 7.20 0.69 1.20 -0.37 -0.14 0.76 1.30 -0.26 -0.05 
1.575663 5.62 10.73 3.37 6.23 5.97 10.89 3.25 6.12 0.68 1.20 -0.32 -0.07 0.74 1.26 -0.23 -0.01 
3.251043 6.15 11.75 3.91 7.33 6.51 11.88 3.79 7.21 0.69 1.21 -0.37 -0.14 0.76 1.30 -0.26 -0.05 
1.638410 5.91 11.26 3.42 6.51 6.24 11.37 3.29 6.34 0.70 1.24 -0.32 -0.07 0.76 1.30 -0.23 -0.00 
3.192406 6.04 11.54 3.89 7.22 6.40 11.68 3.77 7.12 0.68 1.19 -0.37 -0.14 0.75 1.29 -0.26 -0.05 
1.554709 5.60 10.68 3.36 6.21 5.95 10.82 3.25 6.11 0.68 1.21 -0.32 -0.07 0.74 1.27 -0.23 -0.00 
3.185643 6.04 11.54 3.89 7.22 6.40 11.68 3.77 7.12 0.68 1.19 -0.37 -0.14 0.75 1.29 -0.26 -0.05 
1.952919 5.82 11.10 3.63 6.72 6.18 11.24 3.51 6.61 0.68 1.20 -0.34 -0.10 0.75 1.28 -0.25 -0.02 
1.556449 5.75 10.95 3.38 6.32 6.09 11.08 3.26 6.20 0.68 1.20 -0.32 -0.07 0.75 1.27 -0.23 -0.00 
1.559590 5.59 10.61 3.90 6.83 5.92 10.70 3.76 6.70 0.66 1.20 -0.31 -0.03 0.74 1.26 -0.22 0.03 
1.607633 5.38 10.23 3.16 5.77 5.72 10.36 3.04 5.65 0.67 1.18 -0.32 -0.07 0.73 1.24 -0.23 -0.00 
1.562537 5.41 10.29 3.28 5.97 5.76 10.43 3.16 5.86 0.67 1.19 -0.32 -0.06 0.74 1.25 -0.23 -0.00 
1.633719 5.63 10.75 3.25 6.12 6.00 10.92 3.16 6.04 0.69 1.23 -0.31 -0.05 0.75 1.27 -0.22 0.01 
1.459241 5.62 10.69 3.52 6.40 5.96 10.81 3.39 6.28 0.68 1.20 -0.32 -0.06 0.74 1.26 -0.23 0.01 
1.388297 5.66 10.77 3.70 6.65 6.00 10.88 3.57 6.53 0.67 1.20 -0.32 -0.05 0.74 1.27 -0.23 0.01 
1.371948 5.75 10.93 3.83 6.88 6.08 11.04 3.69 6.74 0.68 1.21 -0.32 -0.05 0.75 1.27 -0.23 0.02 
1.354186 5.76 10.96 3.87 6.93 6.09 11.06 3.73 6.80 0.68 1.20 -0.32 -0.05 0.75 1.27 -0.23 0.02 
1.355660 5.76 10.95 3.87 6.93 6.08 11.05 3.73 6.79 0.67 1.20 -0.32 -0.05 0.75 1.27 -0.23 0.02 
1.350070 5.76 10.96 3.90 6.98 6.08 11.04 3.75 6.81 0.67 1.20 -0.32 -0.05 0.75 1.27 -0.23 0.02 
1.352263 5.76 10.96 3.90 6.98 6.08 11.04 3.75 6.82 0.67 1.21 -0.32 -0.05 0.75 1.27 -0.23 0.02 
1.388892 5.78 11.00 4.01 7.13 6.10 11.08 3.86 6.97 0.67 1.21 -0.31 -0.04 0.75 1.28 -0.23 0.03 
1.351615 5.76 10.96 3.90 6.98 6.07 11.03 3.75 6.81 0.67 1.21 -0.32 -0.05 0.75 1.27 -0.23 0.02 
1.298892 5.68 10.78 3.89 6.88 5.98 10.85 3.73 6.71 0.67 1.19 -0.32 -0.05 0.74 1.26 -0.23 0.02 
1.298816 5.50 10.42 3.85 6.70 5.80 10.47 3.68 6.52 0.66 1.18 -0.32 -0.05 0.74 1.25 -0.23 0.02 
1.278737 5.53 10.49 3.86 6.73 5.83 10.54 3.69 6.55 0.66 1.18 -0.32 -0.05 0.74 1.25 -0.23 0.02 
1.218385 5.60 10.62 3.95 6.88 5.89 10.67 3.77 6.69 0.65 1.17 -0.33 -0.06 0.74 1.25 -0.24 0.01 
1.220408 5.64 10.69 3.97 6.92 5.92 10.72 3.79 6.71 0.65 1.16 -0.33 -0.07 0.74 1.25 -0.24 0.01 
1.199950 5.65 10.70 4.03 7.00 5.94 10.74 3.85 6.81 0.66 1.17 -0.32 -0.06 0.74 1.26 -0.24 0.02 
1.158516 5.65 10.70 4.14 7.13 5.94 10.75 3.96 6.94 0.65 1.17 -0.33 -0.05 0.74 1.26 -0.23 0.02 
1.152130 5.66 10.70 4.14 7.13 5.94 10.74 3.96 6.94 0.65 1.17 -0.33 -0.05 0.74 1.26 -0.24 0.02 
1.151971 5.66 10.71 4.14 7.14 5.95 10.75 3.96 6.95 0.65 1.17 -0.33 -0.06 0.74 1.26 -0.24 0.02 
1.145668 5.70 10.78 4.18 7.21 5.99 10.83 4.00 7.02 0.65 1.17 -0.33 -0.06 0.74 1.26 -0.24 0.02 
1.147060 5.70 10.78 4.17 7.19 5.99 10.83 3.99 7.01 0.65 1.17 -0.33 -0.06 0.74 1.26 -0.24 0.02 
1.138941 5.75 10.88 4.23 7.30 6.04 10.93 4.05 7.11 0.65 1.17 -0.33 -0.06 0.74 1.26 -0.24 0.02 
1.136009 5.66 10.69 4.21 7.21 5.95 10.74 4.03 7.02 0.65 1.17 -0.33 -0.06 0.74 1.26 -0.24 0.02 
1.118376 5.78 10.92 4.33 7.45 6.07 10.97 4.15 7.26 0.65 1.17 -0.33 -0.06 0.75 1.26 -0.24 0.02 
1.111741 5.76 10.88 4.43 7.55 6.04 10.93 4.24 7.36 0.65 1.17 -0.34 -0.06 0.75 1.27 -0.24 0.02 
1.132649 5.74 10.84 4.41 7.53 6.03 10.90 4.23 7.35 0.65 1.18 -0.33 -0.05 0.75 1.27 -0.24 0.02 
1.060510 5.82 10.97 4.56 7.73 6.09 11.01 4.36 7.53 0.65 1.16 -0.34 -0.06 0.75 1.26 -0.24 0.02 
1.018448 5.84 11.01 4.65 7.84 6.10 11.04 4.44 7.62 0.64 1.14 -0.34 -0.07 0.75 1.26 -0.24 0.02 
1.000667 5.92 11.15 4.78 8.04 6.17 11.16 4.56 7.80 0.63 1.13 -0.34 -0.07 0.75 1.26 -0.24 0.02 
0.940823 5.90 11.12 4.87 8.12 6.15 11.12 4.65 7.90 0.63 1.12 -0.34 -0.06 0.75 1.26 -0.24 0.02 
0.912677 5.88 11.07 4.97 8.21 6.13 11.07 4.74 7.99 0.63 1.11 -0.34 -0.06 0.75 1.25 -0.24 0.03 
0.955971 5.94 11.16 5.09 8.39 6.18 11.17 4.86 8.16 0.63 1.12 -0.34 -0.05 0.75 1.26 -0.23 0.03 
0.910168 5.88 11.06 4.95 8.20 6.13 11.07 4.73 7.97 0.63 1.11 -0.34 -0.06 0.75 1.25 -0.24 0.03 
0.892266 5.91 11.11 4.91 8.15 6.15 11.11 4.68 7.92 0.62 1.10 -0.34 -0.06 0.75 1.25 -0.24 0.02 
0.893975 5.91 11.12 4.91 8.15 6.15 11.13 4.69 7.93 0.62 1.11 -0.34 -0.06 0.75 1.25 -0.24 0.02 
0.918980 5.99 11.28 4.95 8.29 6.24 11.29 4.74 8.07 0.63 1.12 -0.34 -0.06 0.75 1.26 -0.24 0.02 
0.890022 5.90 11.10 4.91 8.15 6.14 11.09 4.68 7.92 0.62 1.10 -0.34 -0.06 0.75 1.25 -0.24 0.02 
0.883331 5.87 11.04 4.88 8.09 6.11 11.04 4.66 7.87 0.62 1.10 -0.34 -0.06 0.75 1.25 -0.24 0.02 
0.874054 5.78 10.86 4.85 7.99 6.02 10.86 4.62 7.76 0.62 1.10 -0.34 -0.06 0.74 1.24 -0.24 0.02 
0.878172 5.87 11.05 4.87 8.09 6.11 11.05 4.65 7.86 0.62 1.10 -0.34 -0.06 0.75 1.25 -0.24 0.02 
0.882656 5.74 10.78 4.80 7.90 5.98 10.79 4.58 7.68 0.62 1.10 -0.34 -0.06 0.74 1.24 -0.23 0.03 
0.878468 5.66 10.62 4.80 7.82 5.89 10.62 4.56 7.59 0.61 1.08 -0.35 -0.07 0.74 1.23 -0.24 0.01 
0.858387 5.78 10.84 4.90 8.02 6.01 10.83 4.66 7.79 0.61 1.09 -0.34 -0.06 0.74 1.24 -0.24 0.02 
0.852039 5.76 10.81 4.87 7.98 5.98 10.79 4.63 7.73 0.61 1.09 -0.34 -0.06 0.74 1.24 -0.24 0.02 
0.842417 5.77 10.82 4.92 8.04 5.99 10.80 4.68 7.79 0.61 1.09 -0.34 -0.06 0.74 1.23 -0.24 0.02 
0.822287 5.72 10.71 4.93 7.99 5.93 10.69 4.68 7.74 0.60 1.08 -0.34 -0.06 0.74 1.23 -0.24 0.02 
