Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
7.996000 0.33 -0.23 1.78 0.36 0.39 -0.17 1.29 -0.18 0.50 0.97 -0.47 -0.08 0.63 1.11 -0.24 -0.04 
7.706163 0.40 -0.09 1.84 0.51 0.48 0.01 1.36 0.01 0.50 0.97 -0.47 -0.07 0.64 1.12 -0.23 -0.03 
46.690327 -5.76 -11.75 -3.57 -10.07 -5.46 -10.19 -3.80 -9.02 0.37 0.75 -0.69 -0.28 0.53 1.03 -0.52 -0.06 
53.075412 5.54 10.56 2.74 5.15 5.80 10.57 2.58 4.69 0.75 1.40 0.04 0.36 0.80 1.42 0.02 0.37 
639.599641 0.35 -2.04 10.11 1.62 -0.41 -1.55 2.42 2.83 0.53 1.31 -0.50 1.45 0.79 1.38 0.32 1.12 
16.732721 12.43 22.35 5.38 13.61 11.78 21.12 5.48 13.65 1.32 2.46 -0.36 -0.12 1.29 2.48 -0.28 0.01 
6.520409 0.40 -0.09 1.84 0.51 1.44 1.93 2.26 1.96 0.50 0.97 -0.47 -0.07 0.64 1.13 -0.16 -0.02 
6.472560 0.40 -0.09 1.84 0.51 1.47 2.01 2.39 1.98 0.50 0.97 -0.47 -0.07 0.63 1.11 -0.28 -0.04 
6.467426 0.40 -0.09 1.84 0.51 1.48 2.02 2.38 2.00 0.50 0.97 -0.47 -0.07 0.64 1.12 -0.24 -0.04 
12.764925 0.40 -0.35 1.84 1.01 1.48 1.81 2.38 2.45 0.50 1.04 -0.47 0.09 0.64 1.14 -0.24 0.09 
9.896355 0.40 0.75 1.84 0.75 1.48 2.98 2.38 2.31 0.50 0.92 -0.47 -0.18 0.64 1.07 -0.24 -0.12 
6.525498 0.40 -0.13 1.84 0.40 1.48 2.02 2.38 1.89 0.50 0.95 -0.47 -0.05 0.64 1.10 -0.24 -0.03 
55.468159 -1.85 -4.85 -8.94 -15.11 -0.82 -2.40 -7.96 -13.27 0.64 1.12 -0.26 -0.32 0.77 1.20 -0.25 -0.27 
81.246082 -0.29 -2.43 5.37 1.19 0.44 -0.24 2.87 4.12 0.44 1.03 -0.62 0.45 0.63 1.07 0.14 0.11 
6.439718 0.40 -0.08 1.84 0.52 1.49 2.04 2.39 2.03 0.50 0.97 -0.47 -0.07 0.64 1.12 -0.24 -0.04 
25.242987 -3.10 -6.92 -0.68 -5.10 -1.98 -4.16 -0.21 -2.91 0.41 0.85 -0.63 -0.22 0.57 1.06 -0.21 -0.09 
32.116550 -2.73 -6.55 0.79 -5.08 -1.79 -4.38 -0.20 -2.49 0.32 0.74 -0.45 0.19 0.53 0.86 -0.03 -0.10 
12.690204 6.00 11.56 3.91 7.41 7.37 13.71 4.75 9.00 0.83 1.49 -0.15 0.13 0.88 1.58 -0.15 0.17 
6.223235 0.39 -0.08 1.78 0.45 1.73 2.53 2.58 2.47 0.51 0.97 -0.47 -0.07 0.64 1.12 -0.23 -0.04 
20.437994 1.61 2.86 -2.36 -3.69 3.28 5.83 -1.18 -1.45 0.70 1.27 -0.33 -0.25 0.78 1.38 -0.30 -0.20 
6.220196 0.39 -0.08 1.78 0.45 1.73 2.54 2.60 2.46 0.51 0.97 -0.47 -0.07 0.63 1.12 -0.26 -0.04 
