Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
109.873727 18.67 33.35 9.75 21.48 18.54 33.95 10.15 21.88 1.22 2.23 0.06 0.47 1.49 2.45 0.22 0.69 
111.349877 18.73 33.46 9.81 21.58 18.60 34.07 10.22 22.01 1.22 2.23 0.06 0.47 1.49 2.45 0.23 0.69 
278.705474 22.38 36.99 9.80 22.75 21.24 37.29 10.20 23.22 1.54 2.80 0.33 0.84 1.91 2.76 0.50 1.02 
324.564941 20.96 40.49 20.73 37.15 21.05 40.63 19.71 36.86 1.08 2.04 0.13 0.89 1.28 2.26 0.40 1.07 
185.123910 26.25 47.14 13.10 32.05 25.68 49.94 13.72 33.01 1.86 3.16 0.13 0.52 2.12 3.16 0.29 0.69 
110.658350 18.67 33.35 9.75 21.48 19.10 33.48 10.99 22.54 1.22 2.23 0.06 0.47 1.46 2.31 0.25 0.67 
110.146107 18.67 33.35 9.75 21.48 18.66 34.54 10.06 22.04 1.22 2.23 0.06 0.47 1.48 2.44 0.19 0.61 
109.670316 18.67 33.35 9.75 21.48 18.44 33.70 10.13 21.70 1.22 2.23 0.06 0.47 1.48 2.44 0.24 0.70 
107.949526 18.67 34.39 9.75 22.44 18.44 34.88 10.13 22.67 1.22 2.22 0.06 0.46 1.48 2.39 0.24 0.69 
106.120566 18.67 34.17 9.75 22.12 18.44 34.45 10.13 22.35 1.22 2.21 0.06 0.45 1.48 2.43 0.24 0.69 
107.129498 18.67 34.27 9.75 22.26 18.44 34.57 10.13 22.49 1.22 2.21 0.06 0.46 1.48 2.43 0.24 0.69 
15.424345 10.48 16.98 -0.21 3.38 9.84 17.22 0.27 3.88 1.05 1.73 -0.10 0.09 1.30 1.90 0.07 0.27 
16.310494 2.38 5.00 0.12 -0.19 2.58 5.82 0.18 -0.16 0.44 0.71 -0.36 -0.26 0.65 0.91 -0.20 -0.06 
22.459838 6.00 9.32 -2.10 -2.26 6.33 9.61 -1.75 -1.99 0.69 1.34 -0.07 0.16 0.87 1.57 0.09 0.34 
53.527828 4.21 0.59 -11.78 -16.72 2.30 -0.14 -11.11 -16.03 1.18 1.45 -0.05 0.07 1.24 1.70 0.09 0.16 
15.487972 10.52 17.07 -0.15 3.48 9.88 17.32 0.32 3.97 1.05 1.73 -0.10 0.09 1.30 1.91 0.07 0.27 
19.698478 12.50 21.43 2.75 8.54 12.07 21.82 3.20 8.97 1.06 1.81 -0.10 0.13 1.31 2.01 0.08 0.33 
15.751174 10.51 17.07 -0.16 3.47 9.52 16.59 -0.18 3.13 1.05 1.73 -0.10 0.09 1.31 1.89 0.06 0.27 
16.588778 11.56 20.39 1.37 7.11 11.06 20.24 1.86 7.63 1.06 1.78 -0.10 0.11 1.30 2.32 0.08 0.29 
15.510713 10.49 17.01 -0.19 3.40 9.55 16.65 0.21 3.22 1.05 1.73 -0.10 0.09 1.31 1.83 0.10 0.22 
16.637319 11.16 18.36 0.82 5.07 10.52 18.57 1.26 5.38 1.05 1.77 -0.10 0.11 1.30 1.97 0.09 0.29 
15.917784 11.05 18.14 0.66 4.80 10.51 18.49 1.13 5.34 1.05 1.76 -0.10 0.10 1.30 1.91 0.07 0.28 
26.770371 14.15 25.67 5.34 13.64 13.95 26.13 5.77 14.04 1.08 1.89 -0.10 0.16 1.31 2.05 0.09 0.39 
15.908985 10.96 18.03 0.48 4.58 10.37 18.29 0.96 5.08 1.05 1.75 -0.10 0.10 1.30 1.92 0.08 0.28 
15.464439 10.60 17.43 0.03 3.90 10.00 17.76 0.51 4.40 1.05 1.73 -0.10 0.09 1.29 1.94 0.07 0.27 
18.633069 10.08 14.80 -2.49 -0.16 8.83 14.65 -1.94 0.49 1.17 1.77 -0.09 0.07 1.38 1.79 0.07 0.23 
15.359153 10.30 16.66 -0.37 3.06 9.69 16.93 0.11 3.58 1.04 1.71 -0.10 0.09 1.29 1.90 0.07 0.27 
16.992232 7.99 12.51 -1.71 -0.33 7.77 12.81 -1.27 0.10 0.89 1.50 -0.09 0.11 1.19 1.78 0.08 0.29 
22.526769 11.18 17.65 -0.41 3.41 10.29 17.70 0.09 3.97 1.13 1.84 -0.06 0.14 1.39 1.90 0.11 0.31 
6.918502 8.92 15.79 0.45 3.67 8.94 16.04 0.87 4.09 0.88 1.51 -0.17 0.01 1.14 1.72 0.00 0.21 
7.785066 7.34 12.38 -1.62 -0.13 7.23 12.72 -1.16 0.36 0.86 1.40 -0.21 -0.07 1.11 1.65 -0.04 0.11 
6.975981 8.61 15.24 0.14 3.07 8.64 15.44 0.56 3.48 0.86 1.49 -0.17 0.01 1.13 1.71 0.00 0.21 
6.858848 6.28 10.99 -0.53 0.60 6.75 11.51 -0.18 0.87 0.67 1.21 -0.17 0.02 0.79 1.43 -0.01 0.22 
6.817245 6.29 10.97 -0.54 0.58 6.83 11.64 -0.08 1.03 0.67 1.23 -0.17 0.02 0.78 1.43 -0.00 0.22 
3.340849 5.56 10.65 1.24 2.82 5.83 11.42 1.58 3.11 0.56 1.04 -0.21 0.00 0.81 1.19 -0.05 0.21 
3.169329 5.06 9.86 1.49 2.91 5.32 10.78 1.76 3.20 0.52 0.95 -0.22 0.00 0.79 1.13 -0.06 0.20 
3.146178 5.06 9.86 1.48 2.90 5.39 10.90 1.78 3.29 0.52 0.95 -0.22 0.00 0.79 1.12 -0.06 0.19 
3.053026 4.66 8.93 1.25 2.19 4.98 9.98 1.53 2.57 0.50 0.91 -0.23 -0.01 0.77 1.10 -0.07 0.18 
2.948254 4.72 9.06 1.38 2.40 5.04 10.12 1.65 2.78 0.50 0.91 -0.23 -0.01 0.77 1.10 -0.07 0.18 
2.391969 4.81 9.14 2.06 3.28 5.12 10.37 2.26 3.61 0.49 0.90 -0.23 -0.01 0.76 1.07 -0.07 0.18 
4.491318 5.63 10.71 3.01 4.99 5.91 11.95 3.18 5.30 0.52 0.96 -0.20 0.05 0.79 1.12 -0.04 0.24 
3.623370 3.06 5.82 1.83 2.05 3.32 7.35 1.74 2.33 0.41 0.80 -0.29 -0.11 0.65 0.93 -0.14 0.06 
2.098962 5.14 9.85 2.35 3.85 5.48 10.99 2.57 4.20 0.51 0.90 -0.23 -0.01 0.77 1.10 -0.07 0.18 
2.466582 5.05 9.48 1.37 2.41 5.54 10.77 1.90 3.14 0.53 0.96 -0.23 -0.03 0.78 1.12 -0.07 0.18 
4.013398 3.70 6.65 1.76 1.98 3.94 8.24 1.78 2.29 0.42 0.85 -0.22 0.01 0.71 0.96 -0.08 0.18 
2.979574 6.07 11.09 0.82 2.30 6.53 11.88 1.17 2.69 0.63 1.12 -0.23 -0.06 0.81 1.30 -0.08 0.14 
1.058637 5.14 10.20 3.20 5.30 5.51 11.42 3.37 5.66 0.52 0.87 -0.29 -0.09 0.73 1.08 -0.12 0.10 
4.582302 6.10 11.65 1.87 4.14 6.67 12.67 2.24 4.56 0.64 1.09 -0.30 -0.16 0.81 1.25 -0.15 0.05 
1.029365 4.90 9.77 3.27 5.26 5.27 11.03 3.38 5.65 0.51 0.84 -0.29 -0.09 0.72 1.06 -0.13 0.10 
1.550540 5.25 10.34 2.68 4.67 5.79 11.79 3.17 5.43 0.54 0.92 -0.29 -0.10 0.76 1.09 -0.12 0.11 
0.541940 6.40 12.68 4.19 7.44 6.82 13.90 4.43 7.85 0.58 0.98 -0.27 -0.05 0.78 1.18 -0.11 0.15 
